scenario,p,severity,log_return,S_T,pnl_$
No new measures,0.45,0,0.1076250698785685,445.88638551406063,-577.0
Aggressive + retaliation,0.05,3,0.0599675296407086,425.1349459169842,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0351680293300736,414.7214698929798,-577.0
No new measures,0.45,0,-0.0086221282895459,396.95264061107,-577.0
Mild tariffs / tighter language,0.3,1,0.2584739719210824,518.4860281382281,-577.0
Mild tariffs / tighter language,0.3,1,-0.0373675195443799,385.704521946721,-577.0
No new measures,0.45,0,-0.0196826605490068,392.5863245268835,-577.0
No new measures,0.45,0,0.1446889979988568,462.7227703861095,-577.0
Mild tariffs / tighter language,0.3,1,-0.0238829840812369,390.94079325071567,-577.0
No new measures,0.45,0,0.0452944982862528,418.9424698254292,-577.0
Mild tariffs / tighter language,0.3,1,-0.2240408404573474,320.0247281357132,2922.9999999999995
No new measures,0.45,0,-0.0165322428977734,393.8250856962606,-577.0
No new measures,0.45,0,0.0255428113346522,410.7488347478146,-577.0
Mild tariffs / tighter language,0.3,1,0.113565284792876,448.5429288790414,-577.0
Mild tariffs / tighter language,0.3,1,0.1271700932850379,454.68696900477016,-577.0
Aggressive + retaliation,0.05,3,0.3353867085595986,559.937862218889,-577.0
No new measures,0.45,0,0.0162275249062264,406.9403577688244,-577.0
Mild tariffs / tighter language,0.3,1,0.0462103029780223,419.3263150416743,-577.0
Aggressive tariffs / restrictions,0.2,2,0.059568583690379,424.96537387925486,-577.0
Mild tariffs / tighter language,0.3,1,0.0938233621014462,439.7746650261966,-577.0
Aggressive + retaliation,0.05,3,-0.1388263888259893,348.49110976097467,2923.0
Aggressive + retaliation,0.05,3,-0.0920242951543521,365.18892175827415,1404.1078241725852
Aggressive tariffs / restrictions,0.2,2,-0.085858033777619,367.44772914291633,1178.227085708367
Aggressive + retaliation,0.05,3,-0.2090959163210512,324.8433910076369,2923.0
Mild tariffs / tighter language,0.3,1,0.147534225019683,464.04119643685294,-577.0
Mild tariffs / tighter language,0.3,1,-0.1564328998125192,342.4090958431148,2923.0
Aggressive tariffs / restrictions,0.2,2,-0.0297967456090441,388.63568527532993,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1045492022820701,444.5170051251587,-577.0
